Startup,Industry,City,TotalFunding,FundingRounds,Stage,Status,Source,StatusCode
Taskbob,Local Based Services,Mumbai,1200000.0,1,Unknown,Safe,trikala_original,1
Taskbucks,Unknown,Gurgaon,15000000.0,1,Unknown,Safe,trikala_original,1
TastyKhana,E-Commerce,Pune,5000000.0,1,Unknown,Safe,trikala_original,1
Tata Teleservices,Services,Mumbai,212000000.0,1,Unknown,Safe,trikala_original,1
Tavaga,Financial Services,Mumbai,1800000.0,1,Unknown,Safe,trikala_original,1
TaxiForSure.com,Automotive,Bangalore,44000000.0,4,Unknown,Safe,trikala_original,1
TaxiOnMobile,Location Based Services,Hyderabad,50000.0,1,Unknown,Safe,trikala_original,1
TaxiPixi,Travel,Delhi,1800000.0,1,Unknown,Safe,trikala_original,1
TaxiVaxi,Travel & Tourism,Mehrauli,1800000.0,1,Unknown,Safe,trikala_original,1
TaxSutra,Broadcasting,Pune,161000.0,1,Unknown,Safe,trikala_original,1
Teabox,E-Commerce,Darjeeling,7000000.0,3,Unknown,Safe,trikala_original,1
TeamLease Services,Consulting,Bangalore,22500000.0,1,Unknown,Safe,trikala_original,1
Techieweb Solutions,Domains,Nagpur,5000.0,1,Unknown,Safe,trikala_original,1
Techmed Healthcare,Health And Wellness,Chennai,1800000.0,1,Unknown,Safe,trikala_original,1
Techno Renewable Energy Systems India,Clean Technology,Hyderabad,8000.0,1,Unknown,Safe,trikala_original,1
TechProcess Solutions,Data Security,Mumbai,6000000.0,1,Unknown,Safe,trikala_original,1
Teewe,Consumer Electronics,Kormangala,1750000.0,1,Unknown,Safe,trikala_original,1
Teilen Infoservices (LiftO),Mobile,Mumbai,130000.0,1,Unknown,Safe,trikala_original,1
Tejas Networks India,Web Hosting,Bangalore,59000000.0,3,Unknown,Safe,trikala_original,1
Tek Travels,B2B,Gurgaon,1800000.0,1,Unknown,Safe,trikala_original,1
Tele Rickshaw,Transportation,Indore,2000000.0,1,Unknown,Safe,trikala_original,1
TeleDNA,Mobile,Bangalore,10490000.0,1,Unknown,Safe,trikala_original,1
Telematics4u Services Pvt. Ltd.,Business Services,Bangalore,409299.0,1,Unknown,Safe,trikala_original,1
TELiBrahma,Advertising,Bangalore,2250000.0,3,Unknown,Safe,trikala_original,1
Teritree Technologies,Curated Web,Bangalore,140000.0,1,Unknown,Safe,trikala_original,1
Territorial Prescience,Software,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Testbook.com,Edtech,Mumbai,200000.0,1,Unknown,Safe,trikala_original,1
Textual Analytics Solutions,Analytics,Bangalore,250000.0,1,Unknown,Safe,trikala_original,1
The Beer Café,Hospitality,Gurgaon,1800000.0,1,Unknown,Safe,trikala_original,1
The Better India,Indians,Bangalore,159000.0,1,Unknown,Safe,trikala_original,1
The Home Salon,Beauty,Mumbai,1800000.0,1,Unknown,Failed,trikala_original,0
The Porter,Internet,Mumbai,6000000.0,2,Unknown,Safe,trikala_original,1
The Wadhwa Group,Real Estate,Mumbai,24000000.0,1,Unknown,Safe,trikala_original,1
TheKarrier,Transportation,Bangalore,240000.0,1,Unknown,Safe,trikala_original,1
ThinkLink,Consulting,Haryana,1600000.0,1,Unknown,Safe,trikala_original,1
UrbanPro,Education,Bangalore,2000000.0,2,Unknown,Safe,trikala_original,1
Thrillophilia.com,Curated Web,Bangalore,290000.0,3,Unknown,Safe,trikala_original,1
TicketGoose.com,Online Travel,Bangalore,7413693.0,3,Unknown,Safe,trikala_original,1
Tikona Digital Networks,Internet,Bhandup,45000000.0,1,Unknown,Safe,trikala_original,1
Timesaverz.com,Curated Web,Mumbai,2200000.0,2,Unknown,Safe,trikala_original,1
TinyOwl Technology,Apps,Mumbai,27665775.0,4,Unknown,Safe,trikala_original,1
TLabs,Automotive,Noida,1800000.0,1,Unknown,Safe,trikala_original,1
Toflo,Investment Management,Mumbai,1800000.0,1,Unknown,Safe,trikala_original,1
Tonbo Imaging,Design,Bangalore,6400000.0,1,Unknown,Safe,trikala_original,1
ToneTag,Financial Services,Bangalore,1000000.0,1,Unknown,Safe,trikala_original,1
Tooler,Unknown,Delhi,110000.0,1,Unknown,Safe,trikala_original,1
Toppr,Education,Mumbai,14200000.0,4,Unknown,Safe,trikala_original,1
Myfriday,Business Analytics,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Touchtalent,Art,Delhi,710000.0,2,Unknown,Safe,trikala_original,1
Touristlink,Hotels,Nagpur,40000.0,2,Unknown,Safe,trikala_original,1
Tower Vision,Mobile,Chennai,300000000.0,1,Unknown,Safe,trikala_original,1
Townrush,Transportation,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Townscript,Events,Pune,1800000.0,1,Unknown,Safe,trikala_original,1
TradeBriefs,Automotive,Mumbai,1800000.0,1,Unknown,Safe,trikala_original,1
TradeLab,Software,Bangalore,390000.0,1,Unknown,Safe,trikala_original,1
Traffline,Curated Web,Mumbai,1800000.0,2,Unknown,Safe,trikala_original,1
Transerv,Investment Management,Mumbai,1800000.0,1,Unknown,Safe,trikala_original,1
Transparent IT Solutions,Software,Vellore,1800000.0,1,Unknown,Failed,trikala_original,0
Travel Desiya,Travel,Ghaziabad,100000.0,1,Unknown,Safe,trikala_original,1
TravelGuru,Career Planning,Mumbai,15000000.0,1,Unknown,Safe,trikala_original,1
TravelKhana.Com,Marketplaces,Delhi,1000000.0,3,Unknown,Safe,trikala_original,1
Treebo Hotels,Hospitality,Bangalore,6000000.0,1,Unknown,Safe,trikala_original,1
Trepup,Internet,Mumbai,1000000.0,1,Unknown,Safe,trikala_original,1
Tribi Embedded Technologies Private,Hardware + Software,Bangalore,1600000.0,1,Unknown,Safe,trikala_original,1
Triotech,Financial Services,Gurgaon,3000000.0,1,Unknown,Safe,trikala_original,1
Trip38,Apps,Bangalore,1000000.0,1,Unknown,Safe,trikala_original,1
Tripfactory,Travel,Bangalore,10000000.0,1,Unknown,Safe,trikala_original,1
tripMD,Doctors,Delhi,45000.0,1,Unknown,Safe,trikala_original,1
Trivitron Healthcare,Biotechnology,Chennai,95500000.0,3,Unknown,Safe,trikala_original,1
TrucksFirst,Logistics,Gurgaon,10000000.0,1,Unknown,Safe,trikala_original,1
Truebil,Automotive,Mumbai,500000.0,1,Unknown,Safe,trikala_original,1
Truelancer,Employment,Delhi,1800000.0,1,Unknown,Safe,trikala_original,1
Truweight,Health Care,Hyderabad,1800000.0,1,Unknown,Safe,trikala_original,1
Tsepak Technologies,Analytics,Bangalore,200000.0,1,Unknown,Safe,trikala_original,1
TunePatrol,Games,Bangalore,20000.0,1,Unknown,Safe,trikala_original,1
Tushky,Entertainment,Bangalore,340000.0,5,Unknown,Safe,trikala_original,1
Tutorialspoint,Education,Hyderabad,1800000.0,1,Unknown,Safe,trikala_original,1
TutorVista.com,Education,Bangalore,83750000.0,5,Unknown,Safe,trikala_original,1
TutStu,Bridging Online And Offline,Kolkata,1800000.0,1,Unknown,Safe,trikala_original,1
TVS Logistics Services,Manufacturing,Chennai,53000000.0,1,Unknown,Safe,trikala_original,1
Codigami Inc,Apps,Mumbai,2500000.0,1,Unknown,Safe,trikala_original,1
Twigly,Unknown,Gurgaon,200000.0,1,Unknown,Safe,trikala_original,1
Twyst,Retail,Gurgaon,1800000.0,1,Unknown,Safe,trikala_original,1
tydy,Collaboration,Bangalore,163000.0,2,Unknown,Safe,trikala_original,1
UDeserve Technologies,Internet Marketing,Madurai,1800000.0,1,Unknown,Safe,trikala_original,1
uFaber,Education,Mumbai,60532.0,1,Unknown,Safe,trikala_original,1
unamia,E-Commerce,Bangalore,1200000.0,1,Unknown,Failed,trikala_original,0
Unbxd,E-Commerce,Bangalore,2000000.0,3,Unknown,Safe,trikala_original,1
Unicommerce eSolutions Pvt. Ltd.,Auctions,Delhi,10000000.0,1,Unknown,Safe,trikala_original,1
Unilog,Outsourcing,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Uninstall.io,Apps,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Uniphore,Software,Taramani,1800000.0,2,Unknown,Safe,trikala_original,1
United Mobile Apps,Mobile,Bangalore,1200000.0,2,Unknown,Safe,trikala_original,1
Unocoin,Financial Exchanges,Tumkur,250000.0,1,Unknown,Safe,trikala_original,1
Unspun Consulting Group,Consulting,Bangalore,250000.0,1,Unknown,Safe,trikala_original,1
Urban Ladder,E-Commerce,Bangalore,77000000.0,4,Unknown,Safe,trikala_original,1
UrbanClap,Apps,Delhi,36600000.0,3,Unknown,Safe,trikala_original,1
Urbanity Multisol (Didi),Unknown,Mumbai,150000.0,1,Unknown,Safe,trikala_original,1
UrDoorstep,E-Commerce,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Urjakart.com,B2B,Delhi,125000.0,1,Unknown,Safe,trikala_original,1
Urjas,Energy,Powai,100000.0,1,Unknown,Safe,trikala_original,1
Utkarsh Micro Finance,Finance,Varanasi,40240000.0,4,Unknown,Safe,trikala_original,1
Value and Budget Housing Corporation,Real Estate,Bangalore,26000000.0,1,Unknown,Safe,trikala_original,1
ValueFirst Messaging,Messaging,Haryana,15300000.0,1,Unknown,Safe,trikala_original,1
Valyoo Technologies,Fashion,Delhi,10000000.0,1,Unknown,Safe,trikala_original,1
VanityCube,Health And Wellness,Gurgaon,1800000.0,1,Unknown,Safe,trikala_original,1
Vardhman Textiles,Fashion,Ludhiana,5000000.0,1,Unknown,Safe,trikala_original,1
Varthana,Finance,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Vaultize,Cloud Computing,Pune,1800000.0,1,Unknown,Safe,trikala_original,1
VAYAVYA LABS,Software,Belgaum,1330000.0,2,Unknown,Safe,trikala_original,1
Vectus Industries,Manufacturing,Noida,16000000.0,1,Unknown,Safe,trikala_original,1
Vedantu,Edtech,Bangalore,5550000.0,3,Unknown,Safe,trikala_original,1
Vee,Social + Mobile + Local,Noida,1000000.0,1,Unknown,Safe,trikala_original,1
Veeba Foods,Food Processing,Delhi,6000000.0,1,Unknown,Safe,trikala_original,1
Velvetcase,E-Commerce,Mumbai,1000000.0,1,Unknown,Safe,trikala_original,1
Venture Infotek Global Private,Software,Mumbai,20000000.0,1,Unknown,Safe,trikala_original,1
Venturesity,Education,Bangalore,295000.0,2,Unknown,Safe,trikala_original,1
Versant Online Solutions,Brand Marketing,Hyderabad,1000000.0,1,Unknown,Safe,trikala_original,1
Vgulp,Startups,Bangalore,70000.0,1,Unknown,Safe,trikala_original,1
Via,Travel,Bangalore,5000000.0,1,Unknown,Safe,trikala_original,1
Videofropper,Games,Kolkata,1800000.0,1,Unknown,Failed,trikala_original,0
Videonetics Technologies,Video Streaming,Kolkata,1800000.0,1,Unknown,Safe,trikala_original,1
videScreen Networks,Advertising,Mumbai,30000.0,1,Unknown,Failed,trikala_original,0
Vidgyor,Software,Bangalore,500000.0,1,Unknown,Safe,trikala_original,1
Vidooly,Big Data Analytics,Unknown,1000000.0,1,Unknown,Safe,trikala_original,1
VIDTEQ India,Databases,Bangalore,360183.0,1,Unknown,Safe,trikala_original,1
Viedea,Finance,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Vignyan Consultancy Services,Consulting,Bangalore,6000.0,1,Unknown,Safe,trikala_original,1
Vigor Pharma,Medical,Mumbai,1800000.0,1,Unknown,Safe,trikala_original,1
Village Laundry Service,Finance,Mumbai,1800000.0,2,Unknown,Failed,trikala_original,0
VillFarm,Agriculture,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Villgro Innovation Marketing,Clean Technology,Chennai,3400000.0,3,Unknown,Safe,trikala_original,1
Vimagino,Advertising,Bangalore,85000.0,1,Unknown,Safe,trikala_original,1
Vinculum Solutions,Retail Technology,Noida,1800000.0,2,Unknown,Safe,trikala_original,1
VioletStreet,Designers,Hyderabad,315000.0,1,Unknown,Safe,trikala_original,1
Viraliti,Advertising,Noida,20000.0,1,Unknown,Safe,trikala_original,1
Virtual Logic Systems,Software,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Vistaar,Business Development,Bangalore,27315200.0,1,Unknown,Safe,trikala_original,1
VIVO Healthcare,Health Care,Gurgaon,1800000.0,1,Unknown,Safe,trikala_original,1
Vizury,Ad Targeting,Bangalore,27000000.0,3,Unknown,Safe,trikala_original,1
Voodoo,Internet,Delhi,1000000.0,1,Unknown,Safe,trikala_original,1
Voonik,E-Commerce,Bangalore,5500000.0,2,Unknown,Safe,trikala_original,1
voxapp,Big Data Analytics,Delhi,1800000.0,2,Unknown,Safe,trikala_original,1
VoxPop Clothing,E-Commerce,Mumbai,1000000.0,2,Unknown,Safe,trikala_original,1
Voylla Retail Pvt. Ltd.,E-Commerce,Bangalore,15000000.0,2,Unknown,Safe,trikala_original,1
Vriti Infocom,Education,Noida,7500000.0,2,Unknown,Safe,trikala_original,1
VRL Logistics,Logistics Company,Unknown,22400000.0,1,Unknown,Safe,trikala_original,1
Vserv,Emerging Markets,Mumbai,18000000.0,3,Unknown,Safe,trikala_original,1
Vyome Biosciences,Biotechnology,Delhi,12300000.0,3,Unknown,Safe,trikala_original,1
Vyomo,Fashion,Bangalore,2300000.0,3,Unknown,Safe,trikala_original,1
Walden's Path,Education,Hyderabad,250000.0,1,Unknown,Safe,trikala_original,1
Wassup Laundry,Delivery,Chennai,2500000.0,2,Unknown,Safe,trikala_original,1
Wazzat,Apps,Hyderabad,30000.0,1,Unknown,Safe,trikala_original,1
WeAreHolidays,Travel,Delhi,1800000.0,2,Unknown,Safe,trikala_original,1
Webchutney,Advertising,Delhi,1800000.0,1,Unknown,Safe,trikala_original,1
Webshastra,Internet,Bangalore,10000000.0,1,Unknown,Safe,trikala_original,1
Wed Me Good,Weddings,Gurgaon,407200.0,1,Unknown,Safe,trikala_original,1
Wegilant (Appvigil),Android,Gurgaon,660000.0,2,Unknown,Safe,trikala_original,1
Welcare,Health And Wellness,Chennai,100000.0,1,Unknown,Safe,trikala_original,1
Welcome Cure,Medical,Mumbai,6000000.0,1,Unknown,Safe,trikala_original,1
Wellness Forever Medicare,Health And Wellness,Mumbai,3400000.0,1,Unknown,Safe,trikala_original,1
Welspun Energy,Clean Technology,Delhi,689500000.0,4,Unknown,Safe,trikala_original,1
WeMark Marketing Pvt Ltd,Automotive,Gurgaon,16000.0,1,Unknown,Safe,trikala_original,1
Wheebox,Edtech,Gurgaon,1800000.0,1,Unknown,Safe,trikala_original,1
WhistleTalk,Enterprise Software,Bangalore,450000.0,1,Unknown,Safe,trikala_original,1
Wicked Ride,Online Rental,Bangalore,790000.0,1,Unknown,Safe,trikala_original,1
Wifinity Technology,Clean Technology,Bangalore,100000.0,2,Unknown,Safe,trikala_original,1
Wild East Group,Unknown,Mumbai,1800000.0,1,Unknown,Safe,trikala_original,1
wildcraft,E-Commerce,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Wings Intellect,Education,Mumbai,500000.0,1,Unknown,Safe,trikala_original,1
Wishberg,Curated Web,Mumbai,150000.0,1,Unknown,Safe,trikala_original,1
Wishberry,Crowdfunding,Mumbai,652688.0,1,Unknown,Safe,trikala_original,1
Wits Solutions Pvt. Ltd.,Apps,Bangalore,50000.0,1,Unknown,Safe,trikala_original,1
Wizters,Private Social Networking,Delhi,30000.0,1,Unknown,Safe,trikala_original,1
WonderPoint Software,Enterprise Software,Mumbai,486401.300528988,1,Unknown,Safe,trikala_original,1
Woo,Apps,Gurgaon,1800000.0,1,Unknown,Safe,trikala_original,1
Wooplr,Curated Web,Bangalore,5000000.0,1,Unknown,Safe,trikala_original,1
Workhorse,Internet,Mumbai,1800000.0,1,Unknown,Safe,trikala_original,1
WorkIndia,Staffing Firms,Mumbai,500000.0,1,Unknown,Safe,trikala_original,1
World Art Community,Art,Delhi,200000.0,1,Unknown,Safe,trikala_original,1
Worldzen Holdings,Business Services,Bangalore,4000000.0,1,Unknown,Failed,trikala_original,0
Wow Express,Delivery,Mumbai,500000.0,1,Unknown,Safe,trikala_original,1
WudStay,Leisure,Gurgaon,3000000.0,1,Unknown,Safe,trikala_original,1
www.indiahousing.co,Real Estate,Mumbai,720000.0,3,Unknown,Safe,trikala_original,1
Rock N Shop,E-Commerce,Delhi,150000.0,1,Unknown,Safe,trikala_original,1
Xamcheck,Education,Secunderabad,1800000.0,1,Unknown,Safe,trikala_original,1
Xamplified,Education,Delhi,1800000.0,1,Unknown,Safe,trikala_original,1
Xerico Technologies,Mobile,Delhi,1800000.0,1,Unknown,Safe,trikala_original,1
XIVE Group,Real Estate,Hyderabad,20000.0,1,Unknown,Safe,trikala_original,1
XSI Semi Conductors,Semiconductors,Bangalore,550000.0,2,Unknown,Safe,trikala_original,1
XSTOK,B2B,Mumbai,450000.0,1,Unknown,Safe,trikala_original,1
Yatra,Travel,Gurgaon,104500000.0,6,Unknown,Safe,trikala_original,1
YatraGenie Services,Travel & Tourism,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
LYCOS Internet Limited,Advertising,Hyderabad,103000000.0,3,Unknown,Safe,trikala_original,1
Yebhi,Fashion,Gurgaon,40180000.0,4,Unknown,Safe,trikala_original,1
Yellow Monkey Studios Pvt,Games,Mumbai,13596.0,1,Unknown,Safe,trikala_original,1
yepme.com,Brand Marketing,Gurgaon,88200000.0,3,Unknown,Safe,trikala_original,1
Yes Bank,Banking,Mumbai,200000000.0,1,Unknown,Safe,trikala_original,1
Youdly,Networking,Mumbai,100000.0,1,Unknown,Safe,trikala_original,1
YoungCurrent,Education,Bangalore,35000.0,1,Unknown,Safe,trikala_original,1
YourDOST,Fitness,Bangalore,400000.0,1,Unknown,Failed,trikala_original,0
YourNextLeap,Career Management,Pune,1800000.0,1,Unknown,Safe,trikala_original,1
YourStory,Internet,Bangalore,4000000.0,1,Unknown,Safe,trikala_original,1
YouTellMe,Comparison Shopping,Mumbai,100000.0,1,Unknown,Safe,trikala_original,1
Youth4work,Career Management,Delhi,500000.0,1,Unknown,Safe,trikala_original,1
YouthKiAwaaz,Social Media Marketing,Delhi,600000.0,1,Unknown,Safe,trikala_original,1
YUHI Hospitality,Food Processing,Gurgaon,15000000.0,1,Unknown,Safe,trikala_original,1
Yumist,Food Processing,Gurgaon,1000000.0,1,Unknown,Safe,trikala_original,1
Zakoopi,Internet,Delhi,350000.0,1,Unknown,Safe,trikala_original,1
ZapLuk,Unknown,Hyderabad,1800000.0,1,Unknown,Safe,trikala_original,1
ZAPR,Ad Targeting,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Zapyle,Fashion,Bangalore,1000000.0,1,Unknown,Safe,trikala_original,1
Zaya,Edtech,Mumbai,1800000.0,1,Unknown,Safe,trikala_original,1
Zee Learn,Education,Mumbai,20000000.0,1,Unknown,Safe,trikala_original,1
Zenatix,Energy,Haryana,200000.0,1,Unknown,Safe,trikala_original,1
Zenify,Property Management,Bangalore,614000.0,1,Unknown,Safe,trikala_original,1
Zenparent,Lifestyle,Bangalore,500000.0,1,Unknown,Safe,trikala_original,1
ZenRadius,Software,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Zensar Technologies Ltd.,Bpo Services,Pune,1800000.0,1,Unknown,Safe,trikala_original,1
Zepo,Creative,Mumbai,1800000.0,2,Unknown,Safe,trikala_original,1
Zeppery,Restaurants,Delhi,77000.0,1,Unknown,Safe,trikala_original,1
Ziffi,Health And Wellness,Hyderabad,2400000.0,1,Unknown,Safe,trikala_original,1
Zify - Instant Carpooling App,Apps,Hyderabad,230000.0,2,Unknown,Safe,trikala_original,1
Zimmber,Home Decor,Mumbai,2400000.0,2,Unknown,Safe,trikala_original,1
ZingHR,Human Resources,Mumbai,1800000.0,1,Unknown,Safe,trikala_original,1
ZingoHub,Crowdfunding,Bangalore,300000.0,1,Unknown,Safe,trikala_original,1
Zinka Logistics,Internet,Bangalore,6000000.0,1,Unknown,Safe,trikala_original,1
Zipdial,Mobile,Bangalore City,1800000.0,3,Unknown,Safe,trikala_original,1
Zippr,Utilities,Hyderabad,982000.0,1,Unknown,Safe,trikala_original,1
Ziqitza Health Care,Biotechnology,Mumbai,5750000.0,2,Unknown,Safe,trikala_original,1
Ziva Software,Mobile,Bangalore,1700000.0,1,Unknown,Failed,trikala_original,0
Zivame.com,Fashion,Bangalore,49000000.0,3,Unknown,Safe,trikala_original,1
ZO Rooms,Hospitality,Delhi,47000000.0,2,Unknown,Safe,trikala_original,1
Zocalo.in,Online Rental,Delhi,1800000.0,1,Unknown,Safe,trikala_original,1
Zoctr Health,Health Care,Powai,1000000.0,2,Unknown,Safe,trikala_original,1
Zomato,Content Discovery,Gurgaon,223800000.0,8,Unknown,Safe,trikala_original,1
zoogaad,Artificial Intelligence,Jodhpur,500000.0,1,Unknown,Safe,trikala_original,1
zoojoo.BE,Software,Bangalore,1000000.0,2,Unknown,Safe,trikala_original,1
ZoomCar,Automotive,Bangalore,22200000.0,5,Unknown,Safe,trikala_original,1
Zoomo,Internet,Bangalore,6000000.0,2,Unknown,Safe,trikala_original,1
zoomot.com(CoolShare),Information Technology,Mumbai,100000.0,1,Unknown,Safe,trikala_original,1
zophop,Software,Mumbai,450000.0,1,Unknown,Safe,trikala_original,1
ZopNow,Groceries,Bangalore,10000000.0,2,Unknown,Safe,trikala_original,1
Zopper,Mobile,Noida,20000000.0,1,Unknown,Safe,trikala_original,1
Zostel,E-Commerce,Jaipur,1000000.0,1,Unknown,Safe,trikala_original,1
Zoutons,E-Commerce,Delhi,3300000.0,1,Unknown,Safe,trikala_original,1
Zumbl,Chat,Gurgaon,140000.0,3,Unknown,Safe,trikala_original,1
ZuperMeal,Food Processing,Andheri,2000000.0,1,Unknown,Safe,trikala_original,1
Zuvvu,Advertising,Ahmadabad,12000.0,1,Unknown,Failed,trikala_original,0
Zynergy Projects & Services,Clean Technology,Chennai,1800000.0,1,Unknown,Safe,trikala_original,1
BYJUâS,E-Tech,Bangalore,200000000.0,1,Private Equity Round,Safe,startup_funding_2020,1
Shuttl,Transportation,Gurgaon,8048394.0,1,Series C,Safe,startup_funding_2020,1
Mamaearth,E-Commerce,Bangalore,18358860.0,1,Series B,Safe,startup_funding_2020,1
https://www.wealthbucket.in/,Fintech,Delhi,3000000.0,1,Pre-series A,Safe,startup_funding_2020,1
Fashor,Fashion And Apparel,Mumbai,1800000.0,1,Seed Round,Safe,startup_funding_2020,1
Pando,Logistics,Chennai,9000000.0,1,Series A,Safe,startup_funding_2020,1
Ecozen,Technology,Pune,6000000.0,1,Series A,Safe,startup_funding_2020,1
Dhruva Space,Aerospace,Bangalore,50000000.0,1,Seed,Safe,startup_funding_2020,1
Rivigo,Technology,Gurgaon,20000000.0,1,Series F,Safe,startup_funding_2020,1
Healthians,B2B-Focused Foodtech Startup,Bangalore,12000000.0,1,Series C,Safe,startup_funding_2020,1
Licious,E-Commerce,Bangalore,30000000.0,1,Series E,Safe,startup_funding_2020,1
InCred,Finance,Mumbai,5900000.0,1,Debt Funding,Safe,startup_funding_2020,1
Trell,Video,Bangalore,2000000.0,1,Seed Round,Safe,startup_funding_2020,1
Rein Games,Gaming,Noida,50000000.0,1,Seed Round,Safe,startup_funding_2020,1
Lenskart.com,E-Commerce,Faridabad,231000000.0,1,Series G,Safe,startup_funding_2020,1
Freshworks,Software,San Francisco,150000000.0,1,Series H,Safe,startup_funding_2020,1
Misters,Health And Wellness,Gurgaon,486000.0,1,Series B,Failed,startup_funding_2020,0
Sunstone Eduversity Pvt. Ltd,Education,Gurgaon,1500000.0,1,Seed,Safe,startup_funding_2020,1
Healthians,Health And Wellness,Gurgaon,12000000.0,1,Series B,Safe,startup_funding_2020,1
Ninjacart,B2B Marketing,Bangalore,26000000.0,1,Debt Funding,Safe,startup_funding_2020,1
Aye Finance,Fintech,Gurgaon,17411265.0,1,Debt Funding,Safe,startup_funding_2020,1
SuperGaming,Video Games,Pune,1300000.0,1,Seed Funding,Safe,startup_funding_2020,1
Clumio,Saas,San Jose,135000000.0,1,Series C,Safe,startup_funding_2020,1
eBikeGo,Last Mile Transportation,Amritsar,300000.0,1,Seed,Failed,startup_funding_2020,0
Digital Mall Asia,E-Commerce,Delhi,220000000.0,1,Seed Funding,Safe,startup_funding_2020,1
Medikabazaar,Healthcare,Mumbai,15800000.0,1,Series B,Safe,startup_funding_2020,1
Vogo Automotive,Last Mile Transportation,Kormangala,283000000.0,1,Series B,Safe,startup_funding_2020,1
Furtados School of Music,Education,Tulangan,200000000.0,1,Unknown,Safe,startup_funding_2020,1
Dunzo,Customer Service,Bangalore,45000000.0,1,Series D,Safe,startup_funding_2020,1
Udaan,B2B,Bangalore,585000000.0,1,Series D,Safe,startup_funding_2020,1
The Man Company,Consumer Goods,Gurgaon,1800000.0,1,Corporate Round,Failed,startup_funding_2020,0
FPL Technologies,Fintech,Pune,4500000.0,1,Maiden Round,Safe,startup_funding_2020,1
Cashflo,Fintech,Mumbai,3300000.0,1,Series A,Safe,startup_funding_2020,1
Digital F5,"Advertising, Marketing",Mumbai,6000000.0,1,Private Equity Round,Safe,startup_funding_2020,1
3rdFlix,Saas,Hyderabad,5000000.0,1,pre-series A,Safe,startup_funding_2020,1
75F,Iot,Burnsville,18000000.0,1,Series A,Safe,startup_funding_2020,1
Myelin Foundry,Information Technology,Bangalore,1000000.0,1,Seed,Safe,startup_funding_2020,1
Atomberg Technology,Consumer Technology,Mumbai,10000000.0,1,Series A,Safe,startup_funding_2020,1
GOQii,Health And Wellness,Menlo Park,450000000.0,1,Series C,Safe,startup_funding_2020,1
Vyapar App,Accounting,Bangalore,5000000.0,1,Series A,Safe,startup_funding_2020,1
Progcap,Finance,Delhi,5000000.0,1,Series A,Safe,startup_funding_2020,1
MyPetrolPump,Retail,Bangalore,1600000.0,1,Seed Funding Round,Safe,startup_funding_2020,1
Alteria Capital,Finance,Mumbai,140000000.0,1,Single Venture,Safe,startup_funding_2020,1
Pine Labs,Information Technology,Noida,38080000.0,1,Corporate Round,Safe,startup_funding_2020,1
Meesho,E-Commerce,Bangalore,125000000.0,1,Series D,Safe,startup_funding_2020,1
Cars24,E-Commerce,Gurgaon,11000000.0,1,Series D,Safe,startup_funding_2020,1
Uniphore,Customer Service Platform,Palo Alto,51000000.0,1,Series C,Safe,startup_funding_2020,1
Zendrive,Automotive,San Francisco,37000000.0,1,Series B,Safe,startup_funding_2020,1
Lo! Foods,Consumer Goods,Bangalore,500000.0,1,Seed Round,Failed,startup_funding_2020,0
Tala,Fintech,Santa Monica,110000000.0,1,Series D,Safe,startup_funding_2020,1
INDwealth,Fintech,Gurgaon,15000000.0,1,Venture Round,Safe,startup_funding_2020,1
HungerBox,Food And Beverage,Bangalore,6590000.0,1,Series C,Safe,startup_funding_2020,1
AdmitKard,Edtech,Noida,1000000.0,1,Seed Round,Safe,startup_funding_2020,1
Mishry Reviews,Services,Gurgaon,1800000.0,1,Series A,Failed,startup_funding_2020,0
Rapido Bike Taxi,Transportation,Bangalore,3900000000.0,1,Series B,Safe,startup_funding_2020,1
Atlan,Information Technology,Singapore,2500000.0,1,Pre-Series A,Safe,startup_funding_2020,1
WizCounsel,Compliance,Delhi,145000.0,1,Angel,Failed,startup_funding_2020,0
Ola Cabs,Transport,Kormangala,1000000.0,1,Series J,Safe,startup_funding_2020,1
Daalchini Technologies,Food And Beverage,Delhi,500000.0,1,Seed Round,Failed,startup_funding_2020,0
Moglix,E-Commerce,Singapore,60000000.0,1,Series D,Safe,startup_funding_2020,1
Ezyhaul,Tech,Singapore,16000000.0,1,Series B,Safe,startup_funding_2020,1
Indus OS,Tech,Andheri,5750000.0,1,Series B,Safe,startup_funding_2020,1
HealthAssure,Health Care,Mumbai,2500000.0,1,Series A,Safe,startup_funding_2020,1
House of Msasaba,Luxury Label,Mumbai,1000000.0,1,Series A,Safe,startup_funding_2020,1
